outcode,lat,lon,n_reports,n_crop_reports,country,elev
AB12,57.1019,-2.11296,2,0.0,Scotland,77.0
AB14,57.1006,-2.27167,1,0.0,Scotland,63.0
AB15,57.1377,-2.16936,1,0.0,Scotland,93.0
AB21,57.2082,-2.20072,2,1.0,Scotland,60.0
AB23,57.2124,-2.08879,2,0.0,Scotland,61.0
AB30,56.8463,-2.4781,23,19.0,Scotland,52.0
AB31,57.073,-2.52201,4,0.0,Scotland,97.0
AB32,57.155,-2.31763,1,1.0,Scotland,115.0
AB38,57.4859,-3.2266,1,0.0,Scotland,164.0
AB39,56.9814,-2.21541,11,10.0,Scotland,104.0
AB41,57.3738,-2.10493,28,10.0,Scotland,52.0
AB42,57.5011,-1.89298,7,6.0,Scotland,46.0
AB43,57.6572,-2.04412,4,2.0,Scotland,29.0
AB45,57.6518,-2.56816,29,26.0,Scotland,75.0
AB51,57.2879,-2.40361,11,11.0,Scotland,91.0
AB52,57.3441,-2.60978,1,1.0,Scotland,127.0
AB53,57.5251,-2.39364,38,31.0,Scotland,73.0
AB54,57.4541,-2.76173,5,3.0,Scotland,135.0
AB55,57.525,-2.98838,2,2.0,Scotland,131.0
AB56,57.6744,-2.92883,1,1.0,Scotland,36.0
AL5,51.8158,-0.352348,2,0.0,England,115.0
B76,52.5435,-1.78163,1,1.0,England,110.0
B77,52.6187,-1.66828,2,1.0,England,69.0
B79,52.6505,-1.68044,7,3.0,England,80.0
B97,52.2996,-1.95483,1,0.0,England,158.0
BA21,50.9521,-2.63389,2,2.0,England,95.0
BA22,50.9699,-2.63905,5,5.0,England,28.0
BD20,53.8984,-1.95004,1,0.0,England,94.0
BN2,50.8253,-0.1011,1,0.0,England,91.0
BS3,51.4387,-2.60328,8,1.0,England,28.0
BT22,54.5343,-5.56085,2,2.0,Northern Ireland,8.0
BT23,54.5241,-5.69068,4,3.0,Northern Ireland,12.0
BT30,54.3351,-5.70224,2,2.0,Northern Ireland,26.0
BT34,54.1527,-6.1758,2,2.0,Northern Ireland,261.0
BT46,54.8653,-6.66356,1,1.0,Northern Ireland,81.0
BT49,55.1786,-6.95165,1,1.0,Northern Ireland,5.0
BT54,55.1697,-6.3432,1,1.0,Northern Ireland,98.0
BT57,55.18,-6.53399,1,1.0,Northern Ireland,48.0
BT62,54.412,-6.46627,1,0.0,Northern Ireland,29.0
BT71,54.513,-6.70455,1,1.0,Northern Ireland,49.0
CA10,54.6131,-2.65926,1,1.0,England,142.0
CA11,54.6646,-2.78427,1,1.0,England,163.0
CA4,54.8478,-2.83178,5,5.0,England,69.0
CA6,54.9933,-2.89504,4,4.0,England,29.0
CB2,52.1853,0.12303,3,2.0,England,15.0
CB22,52.1288,0.135538,5,5.0,England,16.0
CB23,52.2154,-0.0334279,6,1.0,England,67.0
CB24,52.279,0.0804257,13,2.0,England,5.0
CB25,52.2614,0.252878,1,1.0,England,0.0
CB3,52.2131,0.0980877,1,0.0,England,20.0
CB4,52.2231,0.129784,2,1.0,England,14.0
CB6,52.4061,0.223508,5,5.0,England,-1.0
CB7,52.3602,0.326726,14,10.0,England,2.0
CB8,52.2305,0.428477,2,2.0,England,85.0
CF5,51.4832,-3.24529,1,0.0,Wales,35.0
CH1,53.2026,-2.90988,1,0.0,England,12.0
CH2,53.218,-2.86898,1,1.0,England,39.0
CH3,53.1646,-2.81968,1,0.0,England,34.0
CH8,53.2829,-3.24622,1,0.0,Wales,154.0
CM17,51.7735,0.146311,1,1.0,England,74.0
CM3,51.7217,0.584178,8,5.0,England,108.0
CM8,51.8061,0.637159,1,1.0,England,27.0
CM9,51.7401,0.699407,2,2.0,England,5.0
CO12,51.9311,1.25237,1,1.0,England,22.0
CO15,51.7964,1.15487,1,1.0,England,15.0
CO16,51.8223,1.12386,1,1.0,England,24.0
CO3,51.8847,0.8555,1,1.0,England,38.0
CO4,51.9093,0.919238,2,2.0,England,49.0
CO5,51.8155,0.817919,1,1.0,England,18.0
CO6,51.9252,0.791185,2,2.0,England,55.0
CO7,51.8826,1.00542,21,20.0,England,27.0
CO9,51.9689,0.609661,2,0.0,England,45.0
CT10,51.3631,1.42914,1,1.0,England,39.0
CT12,51.3434,1.368,11,10.0,England,49.0
CT13,51.2662,1.32671,4,3.0,England,7.0
CT14,51.2167,1.38527,4,0.0,England,9.0
CT18,51.1157,1.14935,1,0.0,England,159.0
CT3,51.2765,1.2106,50,41.0,England,3.0
CT4,51.2235,1.06492,1,1.0,England,118.0
CT6,51.3642,1.1295,6,3.0,England,7.0
CT7,51.37,1.2957,48,33.0,England,17.0
CT9,51.3828,1.38918,7,6.0,England,27.0
CV10,52.5261,-1.5026,2,2.0,England,97.0
CV11,52.5202,-1.45248,1,1.0,England,83.0
CV21,52.3769,-1.25056,1,1.0,England,98.0
CV22,52.3587,-1.27782,4,1.0,England,99.0
CV23,52.3679,-1.27878,2,1.0,England,105.0
