outbreakId,outbreakCode,date,year,outcode,country,itlNuts,sourceName,crop,severityName,reportedVarietyName,isPublic
6,BPC_06_3872,2006-05-08,2006,CT7,England,Thanet,Dump,0,Unknown/Other,Unknown/Other,False
7,BPC_06_3880,2006-05-19,2006,IP12,England,East Suffolk,Dump,0,Unknown/Other,Unknown/Other,False
8,BPC_06_3884,2006-05-24,2006,LN4,England,North Kesteven,Conventional crop,1,Unknown/Other,Maris Piper,False
9,BPC_06_3888,2006-05-30,2006,CH1,England,Cheshire West and Chester,Volunteer,0,Unknown/Other,Lady Rosetta,False
10,BPC_06_3892,2006-06-01,2006,CO7,England,Tendring,Conventional crop,1,Unknown/Other,Unknown/Other,False
11,BPC_06_3908,2006-06-02,2006,TF6,England,Telford and Wrekin,Conventional crop,1,Unknown/Other,Premiere,False
12,BPC_06_3900_SS1,2006-06-05,2006,PE34,England,King's Lynn and West Norfolk,Conventional crop,1,Unknown/Other,Maris Piper,False
13,BPC_06_3896_SS2,2006-06-05,2006,IP12,England,East Suffolk,Conventional crop,1,Unknown/Other,Maris Peer,False
24,BPC_06_4024,2006-06-06,2006,IP12,England,East Suffolk,Conventional crop,1,Unknown/Other,Unknown/Other,False
23,BPC_06_3940,2006-06-06,2006,IP9,England,Babergh,Conventional crop,1,Unknown/Other,Maris Piper,False
22,BPC_06_3912,2006-06-06,2006,IP12,England,East Suffolk,Conventional crop,1,Unknown/Other,King Edward,False
21,BPC_06_3920,2006-06-06,2006,PE38,England,King's Lynn and West Norfolk,Conventional crop,1,Unknown/Other,Estima,False
20,BPC_06_4044,2006-06-06,2006,TN26,England,Ashford,Conventional crop,1,Unknown/Other,Daisy,False
16,BPC_06_3928,2006-06-06,2006,CT7,England,Thanet,Conventional crop,1,Unknown/Other,King Edward,False
18,BPC_06_3968,2006-06-06,2006,CT7,England,Thanet,Conventional crop,1,Unknown/Other,King Edward,False
17,BPC_06_3932,2006-06-06,2006,CT12,England,Thanet,Conventional crop,1,Unknown/Other,Maris Peer,False
15,BPC_06_3924,2006-06-06,2006,CT12,England,Thanet,Conventional crop,1,Unknown/Other,Maris Peer,False
14,BPC_06_3944,2006-06-06,2006,TR12,England,Cornwall,Garden/Allotment,0,Unknown/Other,Concord,False
19,BPC_06_3992,2006-06-06,2006,CT10,England,Thanet,Conventional crop,1,Unknown/Other,Riviera,False
29,BPC_06_3960,2006-06-07,2006,TF6,England,Telford and Wrekin,Conventional crop,1,Unknown/Other,Maris Piper,False
28,BPC_06_3956_SS4,2006-06-07,2006,TF6,England,Telford and Wrekin,Conventional crop,1,Unknown/Other,Unknown/Other,False
30,BPC_06_3964,2006-06-07,2006,IP9,England,Babergh,Conventional crop,1,Unknown/Other,King Edward,False
26,BPC_06_3948,2006-06-07,2006,CO7,England,Tendring,Conventional crop,1,Unknown/Other,Maris Piper,False
25,BPC_06_3936,2006-06-07,2006,TR13,England,Cornwall,Conventional crop,1,Unknown/Other,Unknown/Other,False
27,BPC_06_3972,2006-06-07,2006,CT7,England,Thanet,Conventional crop,1,Unknown/Other,Marfona,False
31,BPC_06_3984,2006-06-08,2006,CB7,England,East Cambridgeshire,Conventional crop,1,Unknown/Other,Maris Piper,False
32,BPC_06_4008,2006-06-08,2006,PE8,England,North Northamptonshire,Conventional crop,1,Unknown/Other,Maris Piper,False
33,BPC_06_3976,2006-06-08,2006,CO7,England,Tendring,Conventional crop,1,Unknown/Other,Estima,False
34,BPC_06_3988_SS3,2006-06-08,2006,CT7,England,Thanet,Conventional crop,1,Unknown/Other,Desiree,False
35,BPC_06_3996,2006-06-08,2006,CT9,England,Thanet,Conventional crop,1,Unknown/Other,King Edward,False
36,BPC_06_4004,2006-06-08,2006,CT6,England,Canterbury,Conventional crop,1,Unknown/Other,King Edward,False
37,BPC_06_3980,2006-06-08,2006,TF6,England,Telford and Wrekin,Conventional crop,1,Unknown/Other,Maris Piper,False
38,BPC_06_3952,2006-06-09,2006,IP10,England,East Suffolk,Conventional crop,1,Unknown/Other,Estima,False
