id,name,wmo,icao,lat,lon,elev,start,end
03003,Sumburgh Cape,03003,EGPB,59.8833,-1.3,5,1977-01-19,2026-03-10
03017,Kirkwall Airport,03017,EGPA,58.95,-2.9,21,1973-01-01,2026-03-10
03022,Benbecula,03022,EGPL,57.4667,-7.3667,6,1973-01-01,2026-03-10
03026,Stornoway,03026,EGPO,58.2167,-6.3167,9,1929-10-01,2026-03-10
03059,Inverness / Dalcross,03059,EGPE,57.5333,-4.05,9,1973-01-02,2026-03-10
03062,Tain Range,03062,EGQA,57.8167,-3.9667,4,1989-10-23,2026-03-10
03066,Kinloss,03066,EGQK,57.65,-3.5667,7,1973-01-01,2026-03-10
03068,Lossiemouth,03068,EGQS,57.7167,-3.3167,13,1973-01-03,2026-03-10
03075,Wick,03075,EGPC,58.45,-3.0833,39,1929-10-01,2026-03-10
03091,Aberdeen / Dyce,03091,EGPD,57.2,-2.2167,65,1926-06-02,2026-03-10
03100,Tiree,03100,EGPU,56.5,-6.8833,12,1929-10-01,2026-03-10
03111,Machrihanish,03111,EGQJ,55.4333,-5.7,13,1973-01-01,2025-03-23
03132,West Freugh,03132,EGOY,54.85,-4.95,11,1983-08-04,2026-03-10
03135,Prestwick Airport,03135,EGPK,55.5,-4.5833,20,1944-01-01,2026-03-10
03140,Glasgow Airport,03140,EGPF,55.8667,-4.4333,8,1929-10-01,2026-03-10
03160,Edinburgh Airport,03160,EGPH,55.95,-3.35,41,1973-01-01,2026-03-10
03163,Dundee / Invergowrie / Balmerino / Wormit,03163,EGPN,56.45,-3.0167,4,1983-04-04,2026-03-09
03165,Spadeadam,03165,EGOM,55.05,-2.55,325,1992-09-11,2026-03-10
03171,Leuchars,03171,EGQL,56.3833,-2.8667,12,1929-10-01,2026-03-10
03204,Isle of Man / Ronaldsway Airport,03204,EGNS,54.0833,-4.6333,17,1973-01-01,2026-03-10
03214,Walney Island,03214,EGNL,54.1167,-3.25,15,1983-08-04,2025-03-23
03222,Carlisle,03222,EGNC,54.9333,-2.95,26,1973-01-01,2020-03-27
03240,Boulmer,03240,EGQM,55.4167,-1.6,23,1975-10-01,2026-03-10
03243,Newcastle / Dinnington / Ponteland / Hazlerigg,03243,EGNT,55.0333,-1.7,81,1988-01-05,2026-03-10
03257,Leeming,03257,EGXE,54.3,-1.5333,40,1973-01-01,2026-03-10
03263,Durham Tees Valley / Long Newton,03263,EGNV,54.5167,-1.4167,37,1973-01-01,2026-03-10
03264,Topcliffe / Dalton,03264,EGXZ,54.2,-1.3833,28,1994-07-20,2026-03-10
03266,Linton-On-Ouse,03266,EGXU,54.05,-1.25,16,1973-01-01,2022-07-04
03302,Valley,03302,EGOV,53.25,-4.5333,1,1926-06-06,2026-03-10
03318,Blackpool Airport,03318,EGNH,53.7667,-3.0333,10,1973-01-01,2026-03-09
03321,Hawarden,03321,EGNR,53.1667,-2.9833,10,1985-09-04,2026-03-10
03334,Manchester Airport,03334,EGCC,53.35,-2.2833,69,1933-09-30,2026-03-10
03372,Barkston Heath / Honington / Welby,03372,EGYE,52.9667,-0.5667,112,1995-11-29,2026-03-10
03373,Scampton,03373,EGXP,53.3069,-0.5481,62,1973-01-01,2022-11-01
03377,Waddington,03377,EGXW,53.1667,-0.5167,68,1950-09-26,2026-03-10
03379,Cranwell,03379,EGYD,53.0333,-0.5,67,1929-08-01,2026-03-10
03384,Leconfield,03384,EGXV,53.8667,-0.4333,6,1981-01-12,2026-03-10
03391,Coningsby Royal Air Force Base,03391,EGXC,53.0833,-0.1667,7,1943-08-30,2026-03-10
03392,Wainfleet,03392,EGYW,53.0833,0.2667,3,1984-06-14,2025-03-23
03414,Shawbury,03414,EGOS,52.8,-2.6667,76,1973-01-01,2026-03-10
03416,Burnhill Green,03416,EGWC,52.63,-2.3,83,1994-08-31,2026-03-10
03462,Wittering,03462,EGXT,52.6167,-0.4667,84,1973-03-01,2026-03-10
03469,Holbeach,03469,EGYH,52.8667,0.15,3,1985-12-01,2026-03-10
