week,doy_start,n,positives,rate,hutton_alert_share,hutton_auc,huttonday14_auc,near100_auc,best_auc
17,119,34650,13,0.0003751803751803752,0.007792207792207792,0.49610243381355196,0.5681774269844831,0.6005161221548323,0.7718313675238352
18,126,51440,45,0.000874805598755832,0.06438569206842924,0.5122623255612846,0.7274864610694945,0.5361956956470042,0.8108477910734939
19,133,51448,79,0.0015355310216140568,0.1882094542061888,0.6593044467788409,0.7999033303590724,0.6772802441308862,0.8875989336030128
20,140,51444,120,0.002332633543270352,0.2669893476401524,0.6376597693087054,0.7371273673135376,0.7761247986646922,0.9000461934637467
21,147,51433,197,0.0038302257305620905,0.3768008865903214,0.6064234261046623,0.7177407977338268,0.8252183684298754,0.8844579754954977
22,154,51430,249,0.004841532179661676,0.4108496986194828,0.6668689960796665,0.7104083476007544,0.8368357861213713,0.9108875273666517
23,161,51439,439,0.008534380528392853,0.5051808938742978,0.6530437044977444,0.707298383134575,0.7580902675420966,0.8755499575684488
24,168,51444,580,0.011274395459140036,0.5841691936863386,0.5882203794296623,0.6572102008330531,0.7021382239047196,0.8628007173964921
25,175,51446,658,0.012790110018271586,0.6655911052365587,0.573925032670523,0.6082544718339277,0.7580271995419066,0.8474931882049538
26,182,51446,925,0.017980017882828596,0.7038448081483497,0.5280412373340067,0.573517868138323,0.7588486992564505,0.827014016649218
27,189,50925,1076,0.02112911143838979,0.7140697103583702,0.5681979280027915,0.6830225235601851,0.7590404247593532,0.8445889858748886
28,196,51441,1117,0.02171419684687312,0.7718551350090395,0.5859476696645842,0.6871425623908727,0.7184330675984171,0.8323492061504122
29,203,51446,976,0.0189713485985305,0.8311433347587762,0.5515956971679329,0.6018836563353656,0.7035521527964999,0.7821514343044237
30,210,51450,971,0.018872691933916424,0.8439455782312926,0.5301933328353917,0.5641663777591518,0.6867704405186572,0.7485407305735057
31,217,51446,923,0.017941142168487346,0.776756210395366,0.582771040485321,0.6572855836938044,0.642916244511446,0.7546461091736665
32,224,51435,933,0.018139399241761448,0.7833381938368815,0.5557516362091164,0.6263427938057105,0.6924132195076544,0.7929191347594694
33,231,51435,717,0.013939924176144649,0.8266550014581511,0.5235418140275518,0.5593699991139784,0.6731058870491431,0.8047619310824867
34,238,51437,612,0.011898050041798705,0.8597507630693858,0.5172249870599166,0.5458025745139833,0.6914857466186999,0.7772855402203511
35,245,51442,476,0.009253139458030404,0.8831499552894522,0.5271637674415998,0.474712854376142,0.6883399486624301,0.7942619803876502
36,252,51435,323,0.0062797705842325266,0.8378341596189365,0.5364199884960945,0.5394753802370269,0.6510871287579707,0.8331859506495054
37,259,51440,254,0.004937791601866252,0.751905132192846,0.4466184928149952,0.4152698003360294,0.641329668145602,0.7906320349037369
38,266,51437,193,0.0037521628399790033,0.6685265470381243,0.45572604380222137,0.44006218546804216,0.7241492799055862,0.8661917907335949
39,273,51431,191,0.003713713519083821,0.604227022612821,0.554108374102366,0.6080855005292821,0.6759436651666932,0.7339912576480253
40,280,51423,108,0.0021002275246485035,0.590980689574704,0.4868895276451547,0.5206247000191266,0.7181115369486215,0.7425167177310801
41,287,51425,86,0.0016723383568303355,0.5226251823043266,0.4595499953116018,0.46525115545233525,0.5431668974626933,0.6951548009423907
42,294,51329,86,0.001675466110775585,0.5695221025151473,0.5408888519770596,0.510394045879891,0.6026623488903079,0.6366946772990889
43,301,31364,47,0.001498533350337967,0.566158653233006,0.5893950603947689,0.5455031221571589,0.6510626748166825,0.6686498190432903
