model,alert_rate,recall
Hutton alert,0.02,0.04018073261255446
Hutton alert,0.04,0.05244473132160723
Hutton alert,0.06,0.07003388736485396
Hutton alert,0.08,0.07834436017427787
Hutton alert,0.1,0.10722930450217848
Hutton alert,0.12000000000000001,0.15289656285299338
Hutton alert,0.13999999999999999,0.19493303211231242
Hutton alert,0.16,0.21373245118605777
Hutton alert,0.18,0.23172502823947072
Hutton alert,0.19999999999999998,0.24205260609972568
Hutton alert,0.22,0.27376149749878975
Hutton alert,0.24,0.3023237050185574
Hutton alert,0.26,0.3547684363401646
Hutton alert,0.28,0.3880910117798935
Hutton alert,0.30000000000000004,0.4422301113441988
Hutton alert,0.32,0.4584476359528804
Hutton alert,0.34,0.48588026464418266
Hutton alert,0.36000000000000004,0.5062126835565596
Hutton alert,0.38,0.5430853638857511
Hutton alert,0.4,0.5883492012263999
Hutton alert,0.42000000000000004,0.6064224624818461
Hutton alert,0.44,0.628771986445054
Hutton alert,0.46,0.6601581410359851
Hutton alert,0.48000000000000004,0.6904954010004841
Hutton alert,0.5,0.7087300306599967
Hutton alert,0.52,0.7536711311925125
Hutton alert,0.54,0.7695659189930611
Hutton alert,0.56,0.7809423914797483
Hutton alert,0.5800000000000001,0.801516862998225
Hutton alert,0.6,0.8259641762142972
Hutton alert,0.62,0.8450863320961756
Hutton alert,0.64,0.8487978053897047
Hutton alert,0.66,0.8507342262385025
Hutton alert,0.68,0.8599322252702921
Hutton alert,0.7000000000000001,0.8784089075359045
Hutton alert,0.7200000000000001,0.8814749072131677
Hutton alert,0.74,0.8842181700822979
Hutton alert,0.76,0.8857511699209295
Hutton alert,0.78,0.8964014845893175
Hutton alert,0.8,0.909633693722769
Hutton alert,0.8200000000000001,0.9172180087138938
Hutton alert,0.8400000000000001,0.9207681136033564
Hutton alert,0.86,0.9336775859286751
Hutton alert,0.88,0.9445699532031628
Hutton alert,0.9,0.9501371631434565
Hutton alert,0.92,0.954978215265451
Hutton alert,0.9400000000000001,0.9680490559948363
Hutton alert,0.9600000000000001,0.9821687913506535
Hutton alert,0.98,0.9918508955946426
Hutton alert,1.0,1.0
Hutton alert,0.6069177666071465,
Hutton days in last 14 d,0.02,0.052283362917540745
Hutton days in last 14 d,0.04,0.10505083104728094
Hutton days in last 14 d,0.06,0.1635468775213813
Hutton days in last 14 d,0.08,0.1971921897692432
Hutton days in last 14 d,0.1,0.24189123769565918
Hutton days in last 14 d,0.12000000000000001,0.2703727610133936
Hutton days in last 14 d,0.13999999999999999,0.31289333548491205
Hutton days in last 14 d,0.16,0.34452154268194285
Hutton days in last 14 d,0.18,0.3704211715346135
Hutton days in last 14 d,0.19999999999999998,0.41302243020816526
Hutton days in last 14 d,0.22,0.43706632241407134
Hutton days in last 14 d,0.24,0.46530579312570597
Hutton days in last 14 d,0.26,0.494674842665806
Hutton days in last 14 d,0.28,0.5202517347103437
Hutton days in last 14 d,0.30000000000000004,0.5488139422301114
Hutton days in last 14 d,0.32,0.5696304663546877
Hutton days in last 14 d,0.34,0.5977892528642892
Hutton days in last 14 d,0.36000000000000004,0.6202194610295304
Hutton days in last 14 d,0.38,0.6466838792964338
Hutton days in last 14 d,0.4,0.6654026141681458
Hutton days in last 14 d,0.42000000000000004,0.6832338228174923
Hutton days in last 14 d,0.44,0.7058253993868001
Hutton days in last 14 d,0.46,0.7316443440374375
Hutton days in last 14 d,0.48000000000000004,0.7538324995965789
Hutton days in last 14 d,0.5,0.7712602872357592
Hutton days in last 14 d,0.52,0.785864127803776
Hutton days in last 14 d,0.54,0.8011134419880588
Hutton days in last 14 d,0.56,0.8225754397289011
Hutton days in last 14 d,0.5800000000000001,0.8439567532677101
Hutton days in last 14 d,0.6,0.8538002259157657
Hutton days in last 14 d,0.62,0.8647732773922866
Hutton days in last 14 d,0.64,0.8805066967887688
Hutton days in last 14 d,0.66,0.8934161691140875
Hutton days in last 14 d,0.68,0.9101984831370018
Hutton days in last 14 d,0.7000000000000001,0.9199612715830241
Hutton days in last 14 d,0.7200000000000001,0.9310150072615782
Hutton days in last 14 d,0.74,0.9333548491205422
Hutton days in last 14 d,0.76,0.9427949007584315
Hutton days in last 14 d,0.78,0.9540100048410521
Hutton days in last 14 d,0.8,0.9636921090850411
Hutton days in last 14 d,0.8200000000000001,0.9709536872680329
Hutton days in last 14 d,0.8400000000000001,0.9713571082781991
Hutton days in last 14 d,0.86,0.9757947393900275
Hutton days in last 14 d,0.88,0.9772470550266258
Hutton days in last 14 d,0.9,0.9807164757140552
Hutton days in last 14 d,0.92,0.9850734226238502
Hutton days in last 14 d,0.9400000000000001,0.9882201065031467
Hutton days in last 14 d,0.9600000000000001,0.9903178957560109
Hutton days in last 14 d,0.98,0.9941907374536065
Hutton days in last 14 d,1.0,1.0
Hutton days in last 14 d,,
Week-of-year climatology,0.02,0.02509278683233823
Week-of-year climatology,0.04,0.05518799419073745
Week-of-year climatology,0.06,0.08713893819590124
Week-of-year climatology,0.08,0.11126351460384057
Week-of-year climatology,0.1,0.13796998547684364
Week-of-year climatology,0.12000000000000001,0.16862998224947556
Week-of-year climatology,0.13999999999999999,0.2357592383411328
Week-of-year climatology,0.16,0.2928029691786348
Week-of-year climatology,0.18,0.3416975956107794
Week-of-year climatology,0.19999999999999998,0.3942230111344199
Week-of-year climatology,0.22,0.44271421655639825
Week-of-year climatology,0.24,0.47837663385509116
Week-of-year climatology,0.26,0.512344682911086
Week-of-year climatology,0.28,0.5430046796837179
Week-of-year climatology,0.30000000000000004,0.5800387284169759
Week-of-year climatology,0.32,0.6085202517347104
Week-of-year climatology,0.34,0.6470873003066
Week-of-year climatology,0.36000000000000004,0.6730676133613038
Week-of-year climatology,0.38,0.6982410843956753
Week-of-year climatology,0.4,0.7328546070679361
Week-of-year climatology,0.42000000000000004,0.7485880264644182
Week-of-year climatology,0.44,0.7740035501048894
Week-of-year climatology,0.46,0.8027271260287235
Week-of-year climatology,0.48000000000000004,0.8187832822333387
Week-of-year climatology,0.5,0.8334678070033887
Week-of-year climatology,0.52,0.8495239632080038
Week-of-year climatology,0.54,0.8654994352105858
Week-of-year climatology,0.56,0.8695336453122479
Week-of-year climatology,0.5800000000000001,0.8820396966274003
Week-of-year climatology,0.6,0.8951912215588188
