outcode,n,hutton_auc,best_auc,alert_share
AB21,14,0.6822645626993453,0.905111633372503,0.5660303856641995
AB23,14,0.6463544289631247,0.7632756980583068,0.5660303856641995
AB30,77,0.5869266842045064,0.7761637881733959,0.545631067961165
AB39,28,0.5183409052667003,0.7923397274103988,0.5351456310679612
AB41,126,0.6405503209067323,0.7756985492544689,0.5660303856641995
AB42,34,0.7093367548361627,0.8740101251712686,0.4986365407089988
AB43,21,0.7684458398744113,0.7731554160125588,0.4674970805760997
AB45,75,0.7189333333333333,0.9165973333333333,0.4815533980582524
AB51,21,0.7248168498168498,0.7803506017791731,0.5064227325807708
AB53,123,0.6514459740845369,0.8078621732383718,0.5001941747572816
AB54,21,0.6983443338181003,0.921038893239363,0.46368932038834954
AB55,14,0.6008116249233,0.8386511965192168,0.44233009708737864
AL5,14,0.6649746192893401,0.8837089306632454,0.6718446601941748
B79,35,0.7390607424071991,0.7767716535433071,0.49980582524271844
BA22,21,0.6532889584964761,0.7790767050751388,0.6959223300970874
BS3,49,0.5641814920742644,0.7010155606185468,0.7720388349514563
CB22,35,0.684251968503937,0.8036614173228347,0.636504854368932
CB23,36,0.6831429696730996,0.8131974530655113,0.6388349514563106
CB24,56,0.6752679634775705,0.7957912720467306,0.6570873786407767
CB6,14,0.6645841468176494,0.9554582473364199,0.672621359223301
CB7,35,0.5488188976377952,0.6094769403824523,0.7036893203883495
CB8,14,0.6647793830534947,0.8823283315669103,0.6722330097087379
CM3,49,0.6989189975277522,0.7770291014267939,0.38524271844660196
CO6,14,0.4899174429631282,0.6117587995760584,0.6629126213592234
CO7,30,0.5087753765553372,0.8400196463654226,0.6493203883495146
CO9,14,0.6708317063647014,0.8213448987560663,0.6601941747572816
CT12,35,0.532335565183143,0.5437911438699151,0.7362082362082362
CT13,14,0.4171595982142857,0.6119698660714286,0.7362082362082362
CT14,21,0.3929270885792625,0.561085930651148,0.7362082362082362
CT3,139,0.5635811679198736,0.846412479872365,0.7358197358197358
CT7,133,0.6232254129793965,0.8142847902221756,0.7362082362082362
CT9,25,0.27240486465280506,0.4383915260886622,0.7307692307692307
CV10,12,0.23741708934841982,0.8441604890102744,0.5227184466019418
CV23,14,0.7385786802030456,0.8276482400847883,0.5254368932038835
CW5,14,0.7530261616556033,0.8334774362693145,0.4966990291262136
CW6,21,0.4105977551553119,0.6305235484953574,0.5106796116504855
CW7,14,0.23975009761811794,0.6134322530261616,0.5176699029126214
CW8,42,0.40886958810369783,0.7034619216814242,0.512621359223301
DD10,155,0.6245867768595041,0.7622340709144229,0.5658252427184466
DD11,138,0.6485001754354665,0.8368167680624193,0.5957281553398058
DD2,186,0.6647053925473834,0.7699323062243167,0.5922330097087378
DD3,42,0.7027240426371891,0.8994510555900213,0.6011650485436894
DD4,16,0.7028135990621336,0.968469128565846,0.5968932038834951
DD5,21,0.6567662303762538,0.7153018607599656,0.5937864077669903
DD6,21,0.7055599060297573,0.9247585486818064,0.5922330097087378
DD8,228,0.643589427339119,0.8585250674620083,0.589126213592233
DD9,139,0.686221958393876,0.8309204852866475,0.5829126213592233
DE13,14,0.3668070508172031,0.5971997545601606,0.4792233009708738
DE6,13,0.7527322404371585,0.8384825556956704,0.4970873786407767
DE73,80,0.588251503006012,0.8591307615230461,0.45398058252427187
DG12,21,0.6756342584709688,0.7039843350927976,0.6040189125295509
DG5,14,0.5883045525902668,0.5148295581969051,0.6814988290398126
DG9,28,0.6536796536796536,0.747252206667791,0.6959906578435189
DL6,33,0.4934017595307918,0.9206303793243211,0.46757281553398056
DL7,14,0.7341021922240196,0.8593183466279912,0.4629126213592233
DN10,28,0.7173144876325088,0.9273304728251726,0.5700970873786407
DN11,14,0.4665169855525185,0.2559547051932839,0.5666019417475728
DN14,42,0.7244374259771023,0.7850986031996692,0.5584466019417476
DN17,35,0.6985095613048369,0.8331664791901012,0.5798058252427184
DN21,14,0.7083170636470129,0.991367769286551,0.585631067961165
DN22,14,0.4708121827411168,0.7036453394321415,0.5580582524271844
DN36,14,0.6907458024209293,0.9627935516260391,0.6205825242718447
DY10,21,0.6859361598985718,0.8830033187903196,0.5359223300970873
DY11,21,0.5635604280866613,0.6244266696498489,0.5405825242718446
DY7,28,0.6223428122721408,0.7224676089517079,0.5436893203883495
EH10,14,0.4315975902270319,0.8791208791208791,0.49320388349514566
EH22,14,0.7467786021085514,0.9759719975456015,0.509126213592233
EH32,22,0.7395221308264787,0.8843161343161343,0.5250485436893204
EH34,14,0.736626317844592,0.9479555977017906,0.5293203883495146
EH39,49,0.7302058590657166,0.9489351560101476,0.5483495145631068
EH41,39,0.7064173339804254,0.859763002507482,0.5421359223300971
EH42,14,0.7303787582975401,0.8007335304289619,0.541747572815534
GU1,28,0.6070236693028213,0.6938204610466094,0.6097087378640776
GU29,30,0.6666011787819253,0.7245776031434183,0.6706796116504854
HD6,14,0.7368215540804373,0.7590087577397222,0.5289320388349514
HR1,35,0.6112767154105736,0.7800000000000001,0.6947572815533981
HR2,35,0.6350393700787402,0.8167604049493813,0.7335922330097088
HR4,14,0.6665365091761031,0.9541752663580074,0.6687378640776699
HR6,14,0.7118313158922296,0.8919785797958387,0.5786407766990291
HR8,14,0.6747364310816087,0.8389440508729848,0.6524271844660194
HR9,35,0.5425196850393701,0.54429696287964,0.716116504854369
