lag_days,r,r_raw
-7,-0.009098406064858873,0.09287583466548431
-6,-0.014078936080677994,0.09420812091048171
-5,-0.007992016992576765,0.10382175031281932
-4,-0.010690849259532344,0.10632986904151163
-3,-0.027876911707134553,0.10017172273497965
-2,-0.026846923458870298,0.10730503803705371
-1,0.002641898753586848,0.1302922033528621
0,0.017056105739171212,0.14220325228120692
1,0.0004088029108391455,0.1335464736400856
2,0.00132006480362557,0.13680693140484804
3,-0.009072012075507513,0.13149985858739524
4,-0.027268024892789514,0.120294720351017
5,-0.04154900449100377,0.11271284795515928
6,0.01286187240707238,0.15449558001802266
7,0.05160575414791936,0.18456109606426918
8,0.07099192547939948,0.2005888601014508
9,0.0639068666488564,0.19639730211913686
10,0.05767487993331694,0.1911130725298073
11,0.02697902236685361,0.16851903228483955
12,0.033594916977413604,0.17253218826991845
13,0.03062577332057021,0.1685205803437821
14,0.01783118214841896,0.15764319107888392
15,0.01771873095229514,0.15373943055418585
16,0.01510599327057699,0.14841915517860424
17,-0.015192023919930835,0.12352605910774417
18,-0.04267167394452188,0.10124919067563794
19,-0.02507208945416326,0.11087349613571161
20,-0.005797280191826031,0.1192948941118934
21,0.011704695916743117,0.12423781846999875
22,0.011586178866408855,0.11502218497818288
23,0.005683713957774577,0.10204661532533818
24,-0.005043187608006437,0.08634545786903258
25,-0.01181253849827588,0.07535338225660045
26,-0.0145808557952325,0.0704912410693221
27,-0.027271249802656026,0.057253754486261896
28,-0.041363579235672576,0.041931957352139115
29,-0.028851904571002028,0.04333868721104093
30,-0.006060634541607403,0.0517902366073364
31,-0.008834639772383223,0.04287957687860431
32,-0.013729431653832985,0.03493338495191831
33,-0.020860674905059457,0.02683507682166587
34,-0.01671872634252324,0.0241606409892055
35,-0.029813400428444544,0.012762554945456596
