model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.6230165472551887,0.8549723756906077,0.6152896134370754,0.6029040890779855,94,
Hutton periods in last 28 d,single,0.6960972998969908,0.8667127071823204,0.6119962125890247,0.6672453384013478,94,
Hutton days in last 14 d,single,0.7048005506238477,0.8763812154696132,0.5875015437816475,0.6801236422850541,94,
Smith periods in last 28 d,single,0.5762143969536953,0.6588397790055248,0.8065538676876209,0.5618684031368156,94,
RH>=90 hours last 14 d,single,0.600767145078476,0.7859116022099447,0.7050347865464576,0.5310731994132117,94,
Reports within 40 km last 14 d,single,0.7020802793171645,0.710635359116022,0.8128524968095179,0.6708652889470788,94,
Reports within 100 km last 28 d,single,0.7235552079859082,0.8632596685082873,0.5384710386562924,0.6776464218441796,94,
Inoculum kernel (all reports),single,0.7596666338540066,0.9088397790055248,0.5425466222057552,0.7056812308978467,94,
Own district reports last 21 d,single,0.6436663171352468,0.6691988950276243,0.8369354905108888,0.5903728916771686,94,
National reports season to date,single,0.5958795300517609,0.8418508287292817,0.6373142316084146,0.49930710325738253,94,
Prior-season district rate,single,0.5409824884395839,0.6332872928176796,0.7802066609032152,0.5,94,
Week-of-year climatology (prior seasons),single,0.6907404718928124,0.8680939226519337,0.5840846404017949,0.711058052786957,94,
gbm: weather_basic,fitted,0.6705734139331585,0.8667127071823204,0.6051212383187189,0.6536914846811301,94,"{""2012"": 0.675728744134256, ""2013"": 0.7170923129675019, ""2014"": 0.6046948486184598, ""2015"": 0.6245758928571429, ""2016"": 0.7132541455956721, ""2017"": 0.6417407181984175, ""2018"": 0.6985991129406308, ""2019"": 0.7388754961404533, ""2020"": 0.7731353898124278, ""2021"": 0.7536930111038537, ""2022"": 0.4106567996231156, ""2023"": 0.6452690044301426, ""2024"": 0.6695264282559301, ""2025"": 0.5560977364281603, ""2026"": 0.7356097742127155}"
gbm: weather,fitted,0.7219810014697975,0.9040055248618785,0.5397883989955128,0.7037598772488484,94,"{""2012"": 0.7147657679153743, ""2013"": 0.6545470708507423, ""2014"": 0.7757982436801881, ""2015"": 0.6756919642857142, ""2016"": 0.7426672938962718, ""2017"": 0.6087035909920877, ""2018"": 0.6902032119666048, ""2019"": 0.8416295322278229, ""2020"": 0.7838157042530765, ""2021"": 0.7944402351404312, ""2022"": 0.3393432003768845, ""2023"": 0.7153137466663727, ""2024"": 0.705590462509401, ""2025"": 0.638715710723192, ""2026"": 0.8671828579916815}"
logistic: weather,fitted,0.7316655029056135,0.9102209944751382,0.5468280433082211,0.7126338603519458,94,"{""2012"": 0.8012109281794321, ""2013"": 0.656591697039737, ""2014"": 0.7645824147560257, ""2015"": 0.5994308035714285, ""2016"": 0.8152593202399153, ""2017"": 0.600566037735849, ""2018"": 0.591438137755102, ""2019"": 0.8693939172571651, ""2020"": 0.7854031469463951, ""2021"": 0.8147668190725016, ""2022"": 0.37200651695979897, ""2023"": 0.7304114963302549, ""2024"": 0.6821804753624111, ""2025"": 0.5514459044695952, ""2026"": 0.813149881164587}"
gbm: calendar+weather,fitted,0.7258093802930066,0.9129834254143646,0.5252974352640896,0.7122278461350562,94,"{""2012"": 0.7452427821522309, ""2013"": 0.7071993701027394, ""2014"": 0.8054407333921223, ""2015"": 0.6999441964285714, ""2016"": 0.7384452546160178, ""2017"": 0.6309251369446136, ""2018"": 0.6747159090909092, ""2019"": 0.7986850756081526, ""2020"": 0.7649949836810891, ""2021"": 0.8180169823644677, ""2022"": 0.37239910489949746, ""2023"": 0.7205538780278152, ""2024"": 0.6967843599161171, ""2025"": 0.6552608862459237, ""2026"": 0.8912470291146762}"
gbm: calendar+reports,fitted,0.745641489117524,0.8846685082872928,0.5665061133753242,0.7337581465708467,94,"{""2012"": 0.7700205798138869, ""2013"": 0.747241024599012, ""2014"": 0.7981862691064081, ""2015"": 0.6598158482142857, ""2016"": 0.7539897683170645, ""2017"": 0.7119811320754716, ""2018"": 0.6127848156307978, ""2019"": 0.8361458105047848, ""2020"": 0.8321057109838335, ""2021"": 0.7178393207054213, ""2022"": 0.4428784547738693, ""2023"": 0.759234973881995, ""2024"": 0.8044054388526997, ""2025"": 0.7414876270861308, ""2026"": 0.7594975490196079}"
