model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.6026012577867824,0.7815516624955309,0.6232349429829979,0.6034576049279445,125,
Hutton periods in last 28 d,single,0.6421425738489323,0.7819091884161602,0.6234819480466016,0.6387455176054737,125,
Hutton days in last 14 d,single,0.6583485639273536,0.8013943510904541,0.6019925075130707,0.6585425279234981,125,
Smith periods in last 28 d,single,0.5479965162974129,0.6195924204504827,0.7823885389650488,0.5483006671033425,125,
RH>=90 hours last 14 d,single,0.5503711035683773,0.710940293171255,0.6975422996171422,0.5053879138124195,125,
Reports within 40 km last 14 d,single,0.6560828148742179,0.7014658562745799,0.730064632991643,0.6261713321628363,125,
Reports within 100 km last 28 d,single,0.6550654473981697,0.7711834107972828,0.6360792062903956,0.6240181264903206,125,
Inoculum kernel (all reports),single,0.6868099849644833,0.79621022524133,0.5983285990696142,0.6499330897676002,125,
Own district reports last 21 d,single,0.5759109209549906,0.6430103682516982,0.7895928533201597,0.5579448764922281,125,
National reports season to date,single,0.5261215164766826,0.7295316410439757,0.6634967683504178,0.4725987463533746,125,
Prior-season district rate,single,0.5620271618352544,0.6558813013943511,0.7044996089086493,0.5,125,
Week-of-year climatology (prior seasons),single,0.7068365134375114,0.853593135502324,0.5032316495821497,0.7448803272256701,125,
gbm: weather_basic,fitted,0.6842571701520297,0.8264211655345013,0.5726812399654193,0.6752366728386552,125,"{""2012"": 0.67860048820179, ""2013"": 0.7201157519050834, ""2014"": 0.6218193748107271, ""2015"": 0.6982417582417583, ""2016"": 0.7313327032136105, ""2017"": 0.631206827927368, ""2018"": 0.6689343197429733, ""2019"": 0.7407393129530924, ""2020"": 0.7642198839172486, ""2021"": 0.7543720204913732, ""2022"": 0.6029277476758352, ""2023"": 0.6741526500381135, ""2024"": 0.6140951469419496, ""2025"": 0.6790811638591118, ""2026"": 0.7775885990812261}"
gbm: weather,fitted,0.738772444111788,0.8689667500893815,0.5047960149849738,0.7400771907578256,125,"{""2012"": 0.8392097304981299, ""2013"": 0.7317256679849522, ""2014"": 0.8202984622631986, ""2015"": 0.7229842032967033, ""2016"": 0.8115506008641642, ""2017"": 0.6690757083504077, ""2018"": 0.6136082522345913, ""2019"": 0.8559437409584408, ""2020"": 0.6482029448467712, ""2021"": 0.8230085191053073, ""2022"": 0.572205308018447, ""2023"": 0.7079766237247985, ""2024"": 0.7481161178953846, ""2025"": 0.6971931743600962, ""2026"": 0.8275353000397627}"
logistic: weather,fitted,0.7288122102416099,0.8705756167322131,0.5025729694125396,0.7308092792418985,125,"{""2012"": 0.8504867726279244, ""2013"": 0.7545480852705702, ""2014"": 0.8160469733167335, ""2015"": 0.7144162087912088, ""2016"": 0.8092741527140157, ""2017"": 0.6217464702572237, ""2018"": 0.6332100321283265, ""2019"": 0.8753832200834715, ""2020"": 0.6806610591222159, ""2021"": 0.7938842390328299, ""2022"": 0.5276026571436333, ""2023"": 0.7477587065821302, ""2024"": 0.6239687572103676, ""2025"": 0.5923736600306279, ""2026"": 0.7494099034695137}"
gbm: calendar+weather,fitted,0.7454557522329498,0.8739721129781909,0.49351611708040016,0.7443220019444866,125,"{""2012"": 0.8504010228989886, ""2013"": 0.7431040802546542, ""2014"": 0.8082977219960295, ""2015"": 0.734168956043956, ""2016"": 0.820506599378882, ""2017"": 0.6712716877474153, ""2018"": 0.6303317074688635, ""2019"": 0.8650456617761935, ""2020"": 0.6584975054611543, ""2021"": 0.8323028967803081, ""2022"": 0.5962232452006963, ""2023"": 0.7468103708712885, ""2024"": 0.7371486681649988, ""2025"": 0.6814854517611025, ""2026"": 0.8104203856143348}"
gbm: calendar+reports,fitted,0.7434507664893365,0.8641401501608866,0.5266971306245112,0.7459078787434843,125,"{""2012"": 0.8724244116139434, ""2013"": 0.8376000771679366, ""2014"": 0.826879269154413, ""2015"": 0.6473660714285714, ""2016"": 0.7488491172697813, ""2017"": 0.723030137856528, ""2018"": 0.635392113390433, ""2019"": 0.8013788821640091, ""2020"": 0.6529388983529208, ""2021"": 0.8053648492219715, ""2022"": 0.44761878890586115, ""2023"": 0.7728876022111828, ""2024"": 0.8526196600552047, ""2025"": 0.6164438853642531, ""2026"": 0.8080113535418483}"
gbm: calendar+reports+prior,fitted,0.7877366008618445,0.9106185198426886,0.4606232761104936,0.7900348521052544,125,"{""2012"": 0.9177726793741414, ""2013"": 0.8051432429825407, ""2014"": 0.8800127864329217, ""2015"": 0.7145518543956044, ""2016"": 0.8321399034566568, ""2017"": 0.7565815659293798, ""2018"": 0.6763100266828476, ""2019"": 0.8407914572609427, ""2020"": 0.7321794245474773, ""2021"": 0.8375653246986484, ""2022"": 0.5673177184004481, ""2023"": 0.8206765194878987, ""2024"": 0.9090318666199506, ""2025"": 0.7155020783198425, ""2026"": 0.8290369793825771}"
gbm: all,fitted,0.798418474137043,0.9013228459063282,0.45086657609814335,0.7936710641737551,125,"{""2012"": 0.9174649331247393, ""2013"": 0.8398263721423748, ""2014"": 0.8892661260473099, ""2015"": 0.7160542582417582, ""2016"": 0.8551027038887389, ""2017"": 0.7408371779311913, ""2018"": 0.7273740343998693, ""2019"": 0.8669163641823388, ""2020"": 0.744833102568451, ""2021"": 0.8487258683139426, ""2022"": 0.6550373099241682, ""2023"": 0.7873507221556431, ""2024"": 0.8607867098505371, ""2025"": 0.786304966090571, ""2026"": 0.8541086792835932}"
