model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.6173772021400433,0.8395191221558819,0.6063827504271619,0.6020703783042979,1259,
Hutton periods in last 28 d,single,0.6699594538840409,0.8484750685815717,0.6021603405751683,0.651082639437869,1259,
Hutton days in last 14 d,single,0.6890546440975587,0.8608197514926578,0.5755960102444868,0.6783517922388335,1259,
Smith periods in last 28 d,single,0.6114911507750715,0.7130869775697918,0.8015896566498515,0.596325053123598,1259,
RH>=90 hours last 14 d,single,0.5773057551763212,0.7106664515087946,0.7289310554322642,0.5487553234850603,1259,
Reports within 40 km last 14 d,single,0.7135790132282062,0.7993383895433274,0.7019982077327968,0.6552020765142454,1259,
Reports within 100 km last 28 d,single,0.7562394677261853,0.8900274326286913,0.4649860399996744,0.6903968783443991,1259,
Inoculum kernel (all reports),single,0.7944360583686478,0.918266903340326,0.4352345524252957,0.7078508961082823,1259,
Own district reports last 21 d,single,0.588267026981217,0.6564466677424561,0.8000038479725254,0.5133788678751536,1259,
National reports season to date,single,0.603001517774493,0.8323382281749233,0.6129783233347714,0.4782721425694664,1259,
Prior-season district rate,single,0.7212879012800285,0.8286267548813943,0.6548657242587288,0.5,1259,
Week-of-year climatology (prior seasons),single,0.6989518569723627,0.9006777472970793,0.5098607995938909,0.7197536075132528,1259,
gbm: weather_basic,fitted,0.6792657926260374,0.8688074874939486,0.5743291392899454,0.6747749620027574,1259,"{""2012"": 0.747689886825821, ""2013"": 0.7066432015053608, ""2014"": 0.6085290205187492, ""2015"": 0.6988958301246292, ""2016"": 0.7106561171067878, ""2017"": 0.610168815555553, ""2018"": 0.6575316710778638, ""2019"": 0.7360742228105277, ""2020"": 0.6827890110243977, ""2021"": 0.684645575752189, ""2022"": 0.5607694993804396, ""2023"": 0.5697512260562212, ""2024"": 0.6549380184571594, ""2025"": 0.7092406149876467}"
gbm: weather,fitted,0.7529388610487914,0.9152009036630627,0.4557797657324727,0.7378206471156844,1259,"{""2012"": 0.8064796226634671, ""2013"": 0.7268238837424268, ""2014"": 0.7522024708304219, ""2015"": 0.761365146322587, ""2016"": 0.7639972053878181, ""2017"": 0.6157030328920454, ""2018"": 0.6145336718100266, ""2019"": 0.8002295030676585, ""2020"": 0.6670749776944062, ""2021"": 0.7666214455463387, ""2022"": 0.5947939747236226, ""2023"": 0.7442191447600961, ""2024"": 0.7149801536277574, ""2025"": 0.7182782782063621}"
logistic: weather,fitted,0.747493964895601,0.9118928513796999,0.48291389199481116,0.729483252338857,1259,"{""2012"": 0.8001751518176263, ""2013"": 0.6895630468287904, ""2014"": 0.7391154346948603, ""2015"": 0.7394054813970582, ""2016"": 0.7548970978094042, ""2017"": 0.5788497105337311, ""2018"": 0.5871901069549514, ""2019"": 0.7899078475062467, ""2020"": 0.6572210479994824, ""2021"": 0.756120038515233, ""2022"": 0.5860394195482447, ""2023"": 0.7205833499177599, ""2024"": 0.6865410451639963, ""2025"": 0.6870976264219544}"
