model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.5966258997649969,0.7968130884921818,0.6063775704641469,0.5842501119047476,1264,
Hutton periods in last 28 d,single,0.6213383471700948,0.7904222231690171,0.6123093681111117,0.5961634495099924,1264,
Hutton days in last 14 d,single,0.6511182504059766,0.8134719441012314,0.5808085330270741,0.6354159291636899,1264,
Smith periods in last 28 d,single,0.5817506958813097,0.6774743300242853,0.7728541818211419,0.5601407290778501,1264,
RH>=90 hours last 14 d,single,0.5627558754974389,0.6985215798219079,0.7042107919349456,0.5275099751481068,1264,
Reports within 40 km last 14 d,single,0.6423369649510919,0.7360146563844745,0.702394104906091,0.5835156050171534,1264,
Reports within 100 km last 28 d,single,0.6679391977532692,0.8087000979932683,0.5919928131713139,0.6023755768575412,1264,
Inoculum kernel (all reports),single,0.7059094542582187,0.8382258957862895,0.5358087143257797,0.6254484712105016,1264,
Own district reports last 21 d,single,0.5527879676593591,0.6280516381918112,0.7664021678885212,0.47886916112070765,1264,
National reports season to date,single,0.5251723042613617,0.7012057432576371,0.6632683642638791,0.41845663954801227,1264,
Prior-season district rate,single,0.7148275184480221,0.8213114055643134,0.51169524649594,0.5,1264,
Week-of-year climatology (prior seasons),single,0.696644505172812,0.8949767798559926,0.4704583009277314,0.7286727633477453,1264,
gbm: weather_basic,fitted,0.6417005028050236,0.8092965787567636,0.5947796332734184,0.6397338535350812,1264,"{""2012"": 0.705932627620885, ""2013"": 0.679452935841099, ""2014"": 0.6125749099666037, ""2015"": 0.7133769223164595, ""2016"": 0.6799179763566925, ""2017"": 0.5755310525132229, ""2018"": 0.6189881545129879, ""2019"": 0.6512717567425925, ""2020"": 0.6532897958398673, ""2021"": 0.6314724492525592, ""2022"": 0.5479822542564566, ""2023"": 0.5703069772465704, ""2024"": 0.5933382046535531, ""2025"": 0.6694191121302018}"
gbm: weather,fitted,0.7393088402015688,0.9046908951472029,0.43612846604275246,0.7308731072597654,1264,"{""2012"": 0.7833601696959449, ""2013"": 0.7304691530514009, ""2014"": 0.7482630732246566, ""2015"": 0.7713988180437557, ""2016"": 0.7595085268251952, ""2017"": 0.6093300389594781, ""2018"": 0.6031280129214991, ""2019"": 0.7480889161147194, ""2020"": 0.6591275644880683, ""2021"": 0.739131308229458, ""2022"": 0.5799876587005943, ""2023"": 0.7119929222972734, ""2024"": 0.7181287665268898, ""2025"": 0.7061248018476186}"
logistic: weather,fitted,0.7425130369187921,0.9078437220399642,0.43022404820029586,0.7375214398078692,1264,"{""2012"": 0.7992266914404725, ""2013"": 0.7029797231153649, ""2014"": 0.7460348734934945, ""2015"": 0.7366236766068734, ""2016"": 0.7657841290746795, ""2017"": 0.5742484793896228, ""2018"": 0.602613445809411, ""2019"": 0.7721309275770281, ""2020"": 0.6685997315364649, ""2021"": 0.7623344144337374, ""2022"": 0.5701131469155064, ""2023"": 0.7229978405756242, ""2024"": 0.6722585146831126, ""2025"": 0.6552462899088367}"
gbm: calendar+weather,fitted,0.7366559438891808,0.9040518086148864,0.44310735621347663,0.7286770249048774,1264,"{""2012"": 0.7806291194675822, ""2013"": 0.7216955061935826, ""2014"": 0.727900831446375, ""2015"": 0.7856869301888898, ""2016"": 0.7507551271272608, ""2017"": 0.6096717568698049, ""2018"": 0.6172640171145231, ""2019"": 0.7526014973324707, ""2020"": 0.6825774400813418, ""2021"": 0.7642371676911917, ""2022"": 0.5531125368301415, ""2023"": 0.7285869876968109, ""2024"": 0.6995646234536985, ""2025"": 0.6987300165768385}"
gbm: calendar+reports,fitted,0.7631677069580836,0.9074176643517532,0.41839375266860596,0.7199877777978322,1264,"{""2012"": 0.8356841871995795, ""2013"": 0.7492304929768878, ""2014"": 0.768030505434066, ""2015"": 0.7948737621240277, ""2016"": 0.7407358662786762, ""2017"": 0.6692333658594042, ""2018"": 0.5884297474832096, ""2019"": 0.7733894774523603, ""2020"": 0.7132433484668655, ""2021"": 0.8127667227857689, ""2022"": 0.556188216254735, ""2023"": 0.7806772891087346, ""2024"": 0.7751741277042885, ""2025"": 0.6768584763155265}"
gbm: calendar+reports+prior,fitted,0.833007955352658,0.939798048655788,0.2915727181707923,0.7685071872127891,1264,"{""2012"": 0.8714948953958372, ""2013"": 0.8284058120321732, ""2014"": 0.8095544156062799, ""2015"": 0.8864639839349051, ""2016"": 0.8059191026862325, ""2017"": 0.7604088951173176, ""2018"": 0.7800111894775608, ""2019"": 0.8359448668110759, ""2020"": 0.8391538465136379, ""2021"": 0.8791024683842074, ""2022"": 0.7589074729228875, ""2023"": 0.8662448710127297, ""2024"": 0.8532071884400974, ""2025"": 0.8234864946308327}"
gbm: all,fitted,0.8407268421434549,0.9504494908610626,0.2794249649057506,0.766604391871591,1264,"{""2012"": 0.8649451515024114, ""2013"": 0.8420590624231541, ""2014"": 0.820571855254286, ""2015"": 0.8738820375766015, ""2016"": 0.8033310206921654, ""2017"": 0.7626554108331589, ""2018"": 0.8064677980906491, ""2019"": 0.8436403370756481, ""2020"": 0.8352877858249872, ""2021"": 0.864039857145325, ""2022"": 0.780942650473142, ""2023"": 0.86883080555807, ""2024"": 0.8557726003888873, ""2025"": 0.8524544425700309}"
logistic: all,fitted,0.796853381968613,0.9300839333645775,0.36035744704782807,0.7508711700471897,1264,"{""2012"": 0.854879187229501, ""2013"": 0.7532377230373749, ""2014"": 0.7904697044044224, ""2015"": 0.7934664590803449, ""2016"": 0.8033231074624397, ""2017"": 0.6521368256769154, ""2018"": 0.7235537575982784, ""2019"": 0.8321232815060752, ""2020"": 0.7458702092185868, ""2021"": 0.8403962194466301, ""2022"": 0.6524438021807292, ""2023"": 0.812494686799711, ""2024"": 0.7840350407709656, ""2025"": 0.7694243510464391}"
