model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.6097055333298214,0.8121633083465144,0.6063827504271619,0.6005871390554403,4447,
Hutton periods in last 28 d,single,0.6492043051476554,0.8142722875547304,0.6062243915578442,0.6406368080217708,4447,
Hutton days in last 14 d,single,0.6683660036004673,0.8282671984962061,0.5869586291153881,0.6675371015529004,4447,
Smith periods in last 28 d,single,0.5814232524469536,0.6738188570249639,0.8084597675972593,0.5796594214740907,4447,
RH>=90 hours last 14 d,single,0.552232396614329,0.6820943080485066,0.7220276447226167,0.5382516091058049,4447,
Reports within 40 km last 14 d,single,0.7232797884619862,0.7954748641771543,0.6586737370695174,0.6664032060678573,4447,
Reports within 100 km last 28 d,single,0.7650897038162209,0.8860234280081608,0.4412958491476371,0.7006562485227653,4447,
Inoculum kernel (all reports),single,0.802791059819066,0.9148728881553309,0.38896564278531054,0.7230531225983777,4447,
Own district reports last 21 d,single,0.5392882255096665,0.6076381725236687,0.8260516619911333,0.5266639198509304,4447,
National reports season to date,single,0.5962381308432205,0.811441212204571,0.6070309857987614,0.48424958219371994,4447,
Prior-season district rate,single,0.5914681761394361,0.7105655273594205,0.7553133470627019,0.5,4447,
Week-of-year climatology (prior seasons),single,0.6872169836220992,0.866939458542512,0.5217798944915534,0.7182356685072,4447,
gbm: weather_basic,fitted,0.6671865280880781,0.8368177337642987,0.5788297871553197,0.6737466024891303,4447,"{""2012"": 0.7483960511187819, ""2013"": 0.7287908737536526, ""2014"": 0.5931216123439469, ""2015"": 0.6882643069045913, ""2016"": 0.6945885796728568, ""2017"": 0.6057195994247193, ""2018"": 0.6558526572192906, ""2019"": 0.7258469107264363, ""2020"": 0.6556394863496805, ""2021"": 0.6863872391053483, ""2022"": 0.51303291551673, ""2023"": 0.5932997637171795, ""2024"": 0.6344290806876592, ""2025"": 0.6959041431712468}"
gbm: weather,fitted,0.7344025353369926,0.8881094835293308,0.4799620530709411,0.7361694598430228,4447,"{""2012"": 0.7984476789854118, ""2013"": 0.7374845071668009, ""2014"": 0.7407230324923733, ""2015"": 0.7386611388688652, ""2016"": 0.7547985275685472, ""2017"": 0.6050878898614951, ""2018"": 0.5959660158156739, ""2019"": 0.7875125178310379, ""2020"": 0.6554145105523747, ""2021"": 0.7712375972073332, ""2022"": 0.5633257772745061, ""2023"": 0.7180305883695253, ""2024"": 0.7249104171342747, ""2025"": 0.6857650246060392}"
logistic: weather,fitted,0.7331279068976486,0.8847167778465488,0.4983146620333131,0.734901769672503,4447,"{""2012"": 0.8256914145231481, ""2013"": 0.695221910495254, ""2014"": 0.7417823077214091, ""2015"": 0.7249615253550796, ""2016"": 0.7343825036149977, ""2017"": 0.5527702469488969, ""2018"": 0.5562771974573841, ""2019"": 0.7840207057238635, ""2020"": 0.6467991439161342, ""2021"": 0.7666350125855764, ""2022"": 0.5626172205565255, ""2023"": 0.7371881374073226, ""2024"": 0.6938394957617566, ""2025"": 0.6640765177629828}"
gbm: calendar+weather,fitted,0.7247788806656001,0.8809802168580795,0.496111697762478,0.7311358376269483,4447,"{""2012"": 0.7801136685715573, ""2013"": 0.7212706270960231, ""2014"": 0.7212722508002207, ""2015"": 0.7546658282424682, ""2016"": 0.743676029469412, ""2017"": 0.6158708886548115, ""2018"": 0.6237244574685046, ""2019"": 0.7820204341952113, ""2020"": 0.6557834730174535, ""2021"": 0.761748887061544, ""2022"": 0.544380666157193, ""2023"": 0.7038031615993726, ""2024"": 0.7274662606313931, ""2025"": 0.6613408987908517}"
