model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.5922614465088389,0.7712722742782863,0.6063775704641469,0.5856804224299071,4501,
Hutton periods in last 28 d,single,0.6101497774158701,0.7617058441206738,0.6128133045130058,0.5970469673039206,4501,
Hutton days in last 14 d,single,0.6370817019234517,0.7809267183014678,0.5953745890254344,0.6311765361580532,4501,
Smith periods in last 28 d,single,0.5604617412930114,0.6529207062774197,0.7726292234273447,0.5563222692318356,4501,
RH>=90 hours last 14 d,single,0.5354601556622007,0.6584181877268049,0.7064107962269149,0.5174150939425731,4501,
Reports within 40 km last 14 d,single,0.6474550826140147,0.7241848561988843,0.6904794499767272,0.5902425959053442,4501,
Reports within 100 km last 28 d,single,0.6804926892024425,0.8009803390564914,0.5662180572030716,0.6159237557264603,4501,
Inoculum kernel (all reports),single,0.7164757448944558,0.8293817364458647,0.5070924793596974,0.6413276134572969,4501,
Own district reports last 21 d,single,0.5238092504005597,0.5962736283377565,0.7811554425501402,0.5112452817280377,4501,
National reports season to date,single,0.5230728362867555,0.6883225911282024,0.6592997725996237,0.4250123389597883,4501,
Prior-season district rate,single,0.5878028972825393,0.7025402155662677,0.7029113612128809,0.5,4501,
Week-of-year climatology (prior seasons),single,0.6826698887000313,0.8517914206791962,0.4977974057265231,0.721146532802356,4501,
gbm: weather_basic,fitted,0.6427803553325009,0.7954422358229973,0.584072649721281,0.6512020430496742,4501,"{""2012"": 0.7228360460674871, ""2013"": 0.7183688829577951, ""2014"": 0.5863797842581663, ""2015"": 0.7124118611479904, ""2016"": 0.6523662625939957, ""2017"": 0.5873768880278301, ""2018"": 0.6242839031145984, ""2019"": 0.6694843509286141, ""2020"": 0.6523829734976583, ""2021"": 0.6827786561237059, ""2022"": 0.5306649932626402, ""2023"": 0.5911341916834776, ""2024"": 0.5885659278558617, ""2025"": 0.6721711732185232}"
gbm: weather,fitted,0.7224813014239168,0.8688931917889834,0.46816431730677444,0.7301072500137259,4501,"{""2012"": 0.8092210821828096, ""2013"": 0.7374817228627886, ""2014"": 0.7467145967329624, ""2015"": 0.7512166278568284, ""2016"": 0.7341709589921053, ""2017"": 0.5895030345437617, ""2018"": 0.578358766911145, ""2019"": 0.7517564166210775, ""2020"": 0.6570011635498693, ""2021"": 0.7571437914544316, ""2022"": 0.5423242476590243, ""2023"": 0.6969444584777945, ""2024"": 0.724703895390816, ""2025"": 0.6873450062383333}"
logistic: weather,fitted,0.7240729182305405,0.87096490277853,0.46761746121132697,0.7385987963365566,4501,"{""2012"": 0.8266637762025134, ""2013"": 0.7117357901594048, ""2014"": 0.7603923743293091, ""2015"": 0.7276868999613971, ""2016"": 0.7460637006439157, ""2017"": 0.5479573050003315, ""2018"": 0.56140805678637, ""2019"": 0.7805022069421635, ""2020"": 0.6571617121087541, ""2021"": 0.7624391848413393, ""2022"": 0.5492060363704168, ""2023"": 0.7275217584508259, ""2024"": 0.6889155881605066, ""2025"": 0.6128130134084278}"
gbm: calendar+weather,fitted,0.7119836658931008,0.8669094946650057,0.4789504802935707,0.7231168752657295,4501,"{""2012"": 0.7592175821864132, ""2013"": 0.7282972569820159, ""2014"": 0.7148580709658052, ""2015"": 0.7803569762896725, ""2016"": 0.7413821808487047, ""2017"": 0.6002786870159851, ""2018"": 0.5870488998331276, ""2019"": 0.7589285282036575, ""2020"": 0.6600345908367656, ""2021"": 0.7793944638685224, ""2022"": 0.537799542819507, ""2023"": 0.6931686434889789, ""2024"": 0.7130080574325344, ""2025"": 0.6680335610330382}"
gbm: calendar+reports,fitted,0.7544281191370675,0.8812828359421546,0.44921527260295363,0.7495988288592909,4501,"{""2012"": 0.8582484428584671, ""2013"": 0.7821917511879549, ""2014"": 0.7981922237940884, ""2015"": 0.7857465672419701, ""2016"": 0.7268505094582562, ""2017"": 0.6484686673340636, ""2018"": 0.5996632747622107, ""2019"": 0.7722715786432336, ""2020"": 0.7249957987022522, ""2021"": 0.8121625936766628, ""2022"": 0.5874072360015822, ""2023"": 0.7643652249197193, ""2024"": 0.8223340199125861, ""2025"": 0.6492534939240977}"
gbm: calendar+reports+prior,fitted,0.8013007794501776,0.921498402209825,0.3643837582999657,0.7676631865107385,4501,"{""2012"": 0.8819425519029195, ""2013"": 0.8212821082660069, ""2014"": 0.8149387077139051, ""2015"": 0.8479327995927892, ""2016"": 0.7789146444190198, ""2017"": 0.697468042887561, ""2018"": 0.7173667322383054, ""2019"": 0.8078065087198101, ""2020"": 0.8087137602477297, ""2021"": 0.867290001728595, ""2022"": 0.7066441705539503, ""2023"": 0.8269526227285959, ""2024"": 0.8691042765025203, ""2025"": 0.7725370161465837}"
gbm: all,fitted,0.8126705297293071,0.9243283865027352,0.34837027263625336,0.7745127836665197,4501,"{""2012"": 0.8806152245521611, ""2013"": 0.8344374594842667, ""2014"": 0.8275563709297518, ""2015"": 0.8352694874203812, ""2016"": 0.7875488007711822, ""2017"": 0.7183126656397067, ""2018"": 0.7264804283059744, ""2019"": 0.8223285741956938, ""2020"": 0.7982779469231169, ""2021"": 0.8773327585398415, ""2022"": 0.7360977192589763, ""2023"": 0.825475280466361, ""2024"": 0.8601673430238117, ""2025"": 0.7960115985598974}"
logistic: all,fitted,0.7611261017974082,0.8937063315820831,0.42555912150787245,0.7556207013504083,4501,"{""2012"": 0.8683806823903595, ""2013"": 0.7398446307137428, ""2014"": 0.7956034871240768, ""2015"": 0.757805383844502, ""2016"": 0.7585274015503338, ""2017"": 0.6218900352207453, ""2018"": 0.6376245215221839, ""2019"": 0.8140932671410843, ""2020"": 0.715551984204684, ""2021"": 0.8198298646172311, ""2022"": 0.5734193170213827, ""2023"": 0.7775339191240385, ""2024"": 0.7932208000968941, ""2025"": 0.7031180449255607}"
