model,kind,auc,recall_at_hutton_rate,rate_for_hutton_recall,within_auc,within_n,per_season
Hutton alert (period in last 14 d),single,0.6229946587116524,0.8549723756906077,0.6153307809476761,0.6028832517756421,94,
Hutton periods in last 28 d,single,0.6960875498206227,0.8667127071823204,0.6119962125890247,0.6671816237640239,94,
Hutton days in last 14 d,single,0.7047488827772957,0.8763812154696132,0.5875015437816475,0.6800222128012422,94,
Smith periods in last 28 d,single,0.5762078969027833,0.6588397790055248,0.8065538676876209,0.5618684031368156,94,
RH>=90 hours last 14 d,single,0.6007312889836774,0.7859116022099447,0.7050347865464576,0.5309986000667273,94,
Reports within 40 km last 14 d,single,0.7020802793171645,0.710635359116022,0.8128524968095179,0.6708652889470788,94,
Reports within 100 km last 28 d,single,0.7235552079859082,0.8632596685082873,0.5384710386562924,0.6776464218441796,94,
Own district reports last 21 d,single,0.6436663171352468,0.6691988950276243,0.8369354905108888,0.5903728916771686,94,
National reports season to date,single,0.5958795300517609,0.8425414364640884,0.6373142316084146,0.49930710325738253,94,
Prior-season district rate,single,0.5409824884395839,0.6332872928176796,0.7802066609032152,0.5,94,
Week-of-year climatology (prior seasons),single,0.6908303993413605,0.8680939226519337,0.5942941830307521,0.7113839594021597,94,
logistic: weather,fitted,0.7123112536379123,0.8867403314917127,0.5658062656951134,0.6926771945039677,94,"{""2012"": 0.7210441024417402, ""2013"": 0.680416036981065, ""2014"": 0.6160714285714286, ""2015"": 0.6017633928571429, ""2016"": 0.8047159825943784, ""2017"": 0.6960986001217285, ""2018"": 0.6573008464749537, ""2019"": 0.8330873937711545, ""2020"": 0.8083385189794647, ""2021"": 0.7992109732201176, ""2022"": 0.44400714510050254, ""2023"": 0.6627857001168146, ""2024"": 0.6206571350123159, ""2025"": 0.6566876079033186, ""2026"": 0.85607917409388}"
gbm: weather,fitted,0.677714112886354,0.8722375690607734,0.604874233255115,0.6583204073900076,94,"{""2012"": 0.675092460033405, ""2013"": 0.7045959640856964, ""2014"": 0.609958296590241, ""2015"": 0.6601674107142858, ""2016"": 0.6799717746677644, ""2017"": 0.662839318320146, ""2018"": 0.6432376217532468, ""2019"": 0.7652470353325054, ""2020"": 0.7776437270614531, ""2021"": 0.7716890920966688, ""2022"": 0.4181061557788945, ""2023"": 0.6615238808930815, ""2024"": 0.6725228111085024, ""2025"": 0.5888044312296182, ""2026"": 0.7935606060606062}"
logistic: calendar,fitted,0.4818547904347307,0.7030386740331491,0.7371042773043514,0.4986663172723536,94,"{""2012"": 0.6084914101646385, ""2013"": 0.3955907191750378, ""2014"": 0.6302496693121693, ""2015"": 0.38890625, ""2016"": 0.5723450546865811, ""2017"": 0.4040839926962873, ""2018"": 0.4351663961038961, ""2019"": 0.5012053473591935, ""2020"": 0.35238687883367414, ""2021"": 0.4695493141737427, ""2022"": 0.2547895728643216, ""2023"": 0.571758391924357, ""2024"": 0.6211744388248449, ""2025"": 0.31203241895261846, ""2026"": 0.3360628342245989}"
logistic: reports,fitted,0.7196229946284789,0.8107734806629834,0.7239718414227492,0.7317516783031458,94,"{""2012"": 0.8182489262705799, ""2013"": 0.48848786558805224, ""2014"": 0.7446401014109347, ""2015"": 0.6604129464285714, ""2016"": 0.7940697400917321, ""2017"": 0.650030432136336, ""2018"": 0.6423353432282004, ""2019"": 0.8363284388925416, ""2020"": 0.589099983490596, ""2021"": 0.7973115610711954, ""2022"": 0.38276833385678394, ""2023"": 0.7469887152586453, ""2024"": 0.7821295408331774, ""2025"": 0.5289960195664685, ""2026"": 0.8398785650623886}"
gbm: reports,fitted,0.722356356735371,0.8674033149171271,0.5767156560042814,0.7267674981384402,94,"{""2012"": 0.7412560645828363, ""2013"": 0.7249533291848164, ""2014"": 0.70047490446796, ""2015"": 0.7350948660714286, ""2016"": 0.7515847347994825, ""2017"": 0.7167863664029215, ""2018"": 0.6411540468460111, ""2019"": 0.8208415516107824, ""2020"": 0.7025957862921148, ""2021"": 0.7833755715218811, ""2022"": 0.4760177842336683, ""2023"": 0.7439746754534835, ""2024"": 0.7846901947051965, ""2025"": 0.7668628908497985, ""2026"": 0.7732007575757576}"
logistic: calendar+reports,fitted,0.7151608306085524,0.8287292817679558,0.7340167140093039,0.7396360763420576,94,"{""2012"": 0.8334874333890082, ""2013"": 0.6139085379017818, ""2014"": 0.7497427983539093, ""2015"": 0.49405691964285714, ""2016"": 0.7737769022697871, ""2017"": 0.6307181984175289, ""2018"": 0.6592032409554731, ""2019"": 0.8380134901502423, ""2020"": 0.6828289498749095, ""2021"": 0.7991378184193337, ""2022"": 0.42576652795226133, ""2023"": 0.7211214211721144, ""2024"": 0.7766023485593089, ""2025"": 0.6181481392672166, ""2026"": 0.8429144385026738}"
